# x_m,y_m,w_tr_right_m,w_tr_left_m
102.555794,-253.342056,1.888,1.545
103.500606,-258.250500,1.883,1.543
104.451536,-263.157814,1.878,1.542
105.407485,-268.064218,1.873,1.540
106.367355,-272.969935,1.868,1.538
107.330048,-277.875186,1.862,1.537
108.294464,-282.780196,1.857,1.535
109.259505,-287.685184,1.852,1.534
110.224074,-292.590374,1.847,1.532
111.187071,-297.495988,1.842,1.530
112.147399,-302.402248,1.837,1.529
113.103958,-307.309376,1.832,1.527
114.055651,-312.217594,1.826,1.525
115.001615,-317.127073,1.821,1.524
115.942575,-322.037631,1.816,1.522
116.879915,-326.948942,1.811,1.521
117.815019,-331.860680,1.806,1.519
118.749270,-336.772517,1.801,1.517
119.684054,-341.684127,1.795,1.516
120.620755,-346.595184,1.790,1.514
121.560757,-351.505360,1.785,1.512
122.505444,-356.414329,1.780,1.511
123.456202,-361.321764,1.775,1.509
124.414414,-366.227339,1.770,1.508
125.381466,-371.130726,1.765,1.506
126.358740,-376.031599,1.759,1.504
127.347598,-380.929639,1.754,1.503
128.345619,-385.825549,1.749,1.501
129.342556,-390.722158,1.744,1.499
130.327190,-395.622556,1.739,1.498
131.288302,-400.529834,1.734,1.496
132.214673,-405.447083,1.729,1.495
133.095083,-410.377394,1.683,1.590
133.917404,-415.323672,1.623,1.720
134.638923,-420.282615,1.457,1.923
135.179778,-425.243373,1.219,2.176
135.457865,-430.194646,1.345,2.035
135.391083,-435.125129,1.520,1.798
134.897330,-440.023522,1.740,1.485
133.894503,-444.878522,1.971,1.557
132.336811,-449.670650,2.116,1.317
130.312854,-454.350171,1.238,1.713
127.942320,-458.860348,1.493,1.717
125.341900,-463.144788,1.832,1.446
122.528502,-467.158487,1.407,2.135
119.398290,-470.870226,1.540,2.028
115.840666,-474.249571,1.692,1.847
111.815858,-477.260106,1.796,1.742
107.429983,-479.853095,1.993,1.883
102.807143,-481.978282,2.144,1.671
98.066603,-483.592601,1.997,1.496
93.262909,-484.749189,1.346,2.074
88.404440,-485.569807,1.216,2.375
83.498594,-486.176411,1.600,2.017
78.553298,-486.648841,1.913,1.723
73.577110,-487.016376,1.873,1.744
68.578624,-487.305298,1.832,1.766
63.566436,-487.541894,1.792,1.787
58.549142,-487.752447,1.752,1.809
53.535335,-487.963242,1.712,1.830
48.533082,-488.198747,1.671,1.852
43.543349,-488.459106,1.631,1.874
38.562040,-488.727119,1.591,1.895
33.584950,-488.985207,1.550,1.917
28.607876,-489.215796,1.510,1.938
